Lan,Kommun,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Mål,Mål_År,KOM_IDID
Stockholm,Botkyrka,36,35,34,32,28,22,19,17,12,11,null,50,2018,127
Stockholm,Danderyd,36,29,31,29,26,null,15,20,8,6,null,null,null,162
Stockholm,Ekerö,31,15,22,23,21,null,null,null,null,5,5,null,null,125
Stockholm,Haninge,21,37,35,33,30,25,21,18,12,9,6,50,2018,136
Stockholm,Huddinge,39,44,44,40,36,33,33,31,27,21,17,50,2020,126
Stockholm,Järfälla,41,39,38,29,23,20,16,12,9,8,6,65,2020,123
Stockholm,Lidingö,42,34,36,29,null,17,23,null,null,10,null,35,2020,186
Stockholm,Nacka,33,24,23,null,null,null,null,null,null,8,10,null,null,182
Stockholm,Norrtällje,31,22,20,19,null,null,7,5,null,2,3,null,null,188
Stockholm,Nykvarn,27,48,45,36,null,null,17,13,3,null,null,25,null,140
Stockholm,Nynäshamn,47,34,null,19,11,8,6,6,4,null,null,25,2019,192
Stockholm,Salem,32,30,null,28,24,17,null,18,null,null,null,30,null,128
Stockholm,Sigtuna,null,36,35,29,26,28,28,null,18,13,7,30,2016,191
Stockholm,Sollentuna,37,26,20,18,16,14,10,6,4,3,null,null,null,163
Stockholm,Solna,27,26,null,9,null,null,null,null,null,11,null,30,null,184
Stockholm,Stockholm Stad,33,41,39,33,23,19,18,14,12,null,17,50,2019,180
Stockholm,Sundbyberg,42,25,30,null,29,23,18,17,null,null,null,null,null,183
Stockholm,Södertälje,42,55,56,55,48,45,44,42,30,18,17,null,null,181
Stockholm,Tyresö,56,30,null,28,26,null,19,16,12,9,7,30,2018,138
Stockholm,Täby,32,22,null,null,21,null,null,null,3,null,2,25,null,160
Stockholm,Upplands Bro,null,35,null,27,null,19,16,6,null,null,6,50,2020,139
Stockholm,Upplands Väsby,46,35,30,21,25,21,16,11,null,null,null,40,2016,114
Stockholm,Vallentuna,36,23,19,16,null,14,null,null,3,null,null,null,null,115
Stockholm,Vaxholm,29,31,38,33,28,null,20,16,9,5,null,40,2018,187
Stockholm,Värmdö,38,23,23,21,22,19,12,15,12,10,null,null,null,120
Stockholm,Österåker,23,21,21,20,19,13,12,12,8,4,null,null,null,117
Uppsala,Enköping,28,null,null,6,6,5,4,3,3,,1,10,2016,381
Uppsala,Heby,19,24,16,17,12,10,7,null,null,null,null,10,2016,331
Uppsala,Håbo,24,28,24,34,24,null,16,null,null,1,null,null,null,305
Uppsala,Knivsta,40,22,21,27,22,13,null,8,4,null,2,null,null,330
Uppsala,Tierp,22,22,null,null,19,16,17,11,null,null,null,null,null,360
Uppsala,Uppsala,23,41,34,26,21,15,17,16,13,5,5,100,2023,380
Uppsala,Älvkarleby,45,null,10,null,8,9,null,null,null,null,null,null,null,319
Uppsala,Östhammar,null,26,23,null,18,14,null,null,null,null,3,null,null,382
Södermanland,Eskilstuna,null,52,51,51,46,34,30,30,25,15,9,50,2020,484
Södermanland,Flen,51,37,34,33,19,null,null,null,null,null,1,30,2016,482
