Län,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,LNKOD
Blekinge,36,28,30,28,23,19,19,15,10,7,8,10
Dalarna,32,28,26,28,26,27,24,18,14,12,11,20
Gotland,31,30,26,26,24,21,21,20,17,13,10,9
Gävleborg,22,23,25,30,21,22,19,19,12,9,7,21
Halland,25,30,28,26,23,20,17,13,9,9,5,13
Jämtland,18,10,25,20,21,19,20,17,13,9,12,23
Jönköping,22,17,20,22,18,16,14,11,8,6,5,6
Kalmar,25,25,27,27,25,21,21,17,15,11,9,8
Kronoberg,32,34,35,35,31,31,29,24,18,14,7,7
Norrbotten,17,10,14,17,15,14,14,9,4,7,3,25
Skåne,41,36,39,39,25,29,28,25,19,16,14,12
Stockholm,37,38,29,32,24,24,20,18,14,12,13,1
Södermanland,43,39,38,40,30,25,24,23,17,13,7,4
Uppsala,31,30,27,27,19,18,18,16,13,7,9,3
Värmland,23,24,17,24,17,18,17,17,12,5,5,17
Västerbotten,5,10,10,18,15,17,15,11,5,7,3,24
Västernorrland,31,30,23,26,19,16,10,8,9,5,1,22
Västmanland,34,30,31,34,25,26,26,17,11,8,8,19
Västra Götaland,35,32,25,32,20,21,21,17,13,11,10,14
Örebro,46,48,35,43,29,27,26,26,16,10,7,18
Östergötland,33,35,25,29,24,22,21,16,16,6,3,5
