Landsting,Län,LNKOD,2018,2017,2016,2015
Region Kronoberg,Kronoberg,7,58,56,54,48
Region Örebro län,Örebro,18,49,47,48,47
Region Skåne,Skåne,12,47,47,50,46
Region Uppsala,Uppsala,3,55,52,51,45
Landstinget Blekinge,Blekinge,10,47,48,48,42
Landstinget Västmanland,Västmanland,19,44,44,47,42
Region Gävleborg,Gävleborg,21,34,36,42,40
Västra Götalandsregionen,Västra Götaland,14,42,48,43,38
Region Jönköping,Jönköping,6,46,40,42,36
Stockholms läns landsting,Stockholm,1,44,42,42,36
Landstinget Västernorrland,Västernorrland,22,44,37,37,34
Landstinget i Värmland,Värmland,17,36,37,33,34
Landstinget i Kalmar Län,Kalmar,8,36,35,40,33
Region Östergötland,Östergötland,5,36,36,35,32
Landstinget i Sörmland,Södermanland,4,34,34,33,30
Landstinget Dalarna,Dalarna,20,40,33,32,30
Region Halland,Halland,13,31,31,26,27
Region Gotland,Gotland,9,31,30,26,26
Region Jämtland Härjedalen,Jämtland,23,null,27,24,25
Norrbottens läns landsting,Norrbotten,25,30,28,28,25
Västerbottens läns landsting,Västerbotten,24,21,17,17,12
