Lan,Kommun,2015,2014,2013,2012,2011,2010,2009,2008,Mål,Mål_År,KOM_IDID
Stockholm,Botkyrka,32,28,22,19,17,12,11,null,50,2018,0127
Stockholm,Danderyd,29,26,null,15,20,8,6,null,null,null,0162
Stockholm,Ekerö,23,21,null,null,null,null,5,5,null,null,0125
Stockholm,Haninge,33,30,25,21,18,12,9,6,50,2018,0136
Stockholm,Huddinge,40,36,33,33,31,27,21,17,50,2020,0126
Stockholm,Järfälla,29,23,20,16,12,9,8,6,65,2020,0123
Stockholm,Lidingö,29,null,17,23,null,null,10,null,35,2020,0186
Stockholm,Nacka,null,null,null,null,null,null,8,10,null,null,0182
Stockholm,Norrtällje,19,null,null,7,5,null,2,3,null,null,0188
Stockholm,Nykvarn,36,null,null,17,13,3,null,null,25,null,0140
Stockholm,Nynäshamn,19,11,8,6,6,4,null,null,25,2019,0192
Stockholm,Salem,28,24,17,null,18,null,null,null,30,null,0128
Stockholm,Sigtuna,29,26,28,28,null,18,13,7,30,2016,0191
Stockholm,Sollentuna,18,16,14,10,6,4,3,null,null,null,0163
Stockholm,Solna,9,null,null,null,null,null,11,null,30,null,0184
Stockholm,Stockholm Stad,33,23,19,18,14,12,null,17,50,2019,0180
Stockholm,Sundbyberg,null,29,23,18,17,null,null,null,null,null,0183
Stockholm,Södertälje,55,48,45,44,42,30,18,17,null,null,0181
Stockholm,Tyresö,28,26,null,19,16,12,9,7,30,2018,0138
Stockholm,Täby,null,21,null,null,null,3,null,2,25,null,0160
Stockholm,Upplands Bro,27,null,19,16,6,null,null,6,50,2020,0139
Stockholm,Upplands Väsby,21,25,21,16,11,null,null,null,40,2016,0114
Stockholm,Vallentuna,16,null,14,null,null,3,null,null,null,null,0115
Stockholm,Vaxholm,33,28,null,20,16,9,5,null,40,2018,0187
Stockholm,Värmdö,21,22,19,12,15,12,10,null,null,null,0120
Stockholm,Österåker,20,19,13,12,12,8,4,null,null,null,0117
Uppsala,Enköping,6,6,5,4,3,3,,1,10,2016,0381
Uppsala,Heby,17,12,10,7,null,null,null,null,10,2016,0331
Uppsala,Håbo,34,24,null,16,null,null,1,null,null,null,0305
Uppsala,Knivsta,27,22,13,null,8,4,null,2,null,null,0330
Uppsala,Tierp,null,19,16,17,11,null,null,null,null,null,0360
Uppsala,Uppsala,26,21,15,17,16,13,5,5,100,2023,0380
Uppsala,Älvkarleby,null,8,9,null,null,null,null,null,null,null,0319
Uppsala,Östhammar,null,18,14,null,null,null,null,3,null,null,0382
Södermanland,Eskilstuna,51,46,34,30,30,25,15,9,50,2020,0484
Södermanland,Flen,33,19,null,null,null,null,null,1,30,2016,0482
Södermanland,Gnesta,28,null,20,20,15,12,10,11,50,null,0461
Södermanland,Katrineholm,32,32,8,6,12,7,7,null,40,2019,0483
Södermanland,Nyköping,42,40,21,22,20,20,20,null,50,2016,0480
Södermanland,Oxelösund,17,15,10,null,5,null,0,0,25,2016,0481
Södermanland,Strängnäs,31,null,18,null,null,null,null,0,40,2016,0486
Södermanland,Trosa,40,41,38,34,27,25,19,16,60,2018,0488
Södermanland,Vingåker,28,25,20,13,5,null,null,1,30,2016,0428
Östergötland,Boxholm,null,11,5,null,null,2,1,1,null,null,0560
Östergötland,Finspång,30,25,20,17,17,11,9,3,27,2016,0562
Östergötland,Kinda,30,27,25,18,14,4,4,5,25,2023,0513
Östergötland,Linköping,24,28,15,16,7,null,null,null,25,2016,0580
Östergötland,Mjölby,15,8,8,null,null,0,6,null,25,2018,0586
Östergötland,Motala,49,45,41,32,33,29,null,null,50,2016,0583
Östergötland,Norrköping,24,25,20,21,18,15,0,,30,2016,0581
Östergötland,Söderköping,null,24,null,null,null,null,null,null,null,null,0582
Östergötland,Vadstena,30,23,20,16,11,7,null,null,25,2016,0584
Östergötland,Valdemarsvik,null,22,16,10,null,8,5,null,null,null,0563
Östergötland,Ydre,28,22,17,17,16,13,5,3,25,2016,0512
Östergötland,Åtvidaberg,null,null,null,null,0,null,null,null,null,null,0561
Östergötland,Ödeshög,null,14,8,null,4,3,1,6,null,null,0509
Jönköping,Aneby,16,null,7,13,7,4,5,3,10,2016,0604
Jönköping,Eksjö,null,8,9,14,10,9,6,4,null,null,0686
Jönköping,Gislaved,35,33,24,24,17,6,5,3,25,2016,0662
Jönköping,Gnosjö,null,11,14,null,null,null,0,null,null,null,0617
Jönköping,Habo,null,null,null,16,10,2,2,1,null,null,0643
Jönköping,Jönköping,19,20,16,14,12,6,3,3,25,2016,0680
Jönköping,Mullsjö,null,21,17,14,11,1,1,1,null,null,0642
Jönköping,Nässjö,16,14,12,9,8,5,3,1,25,2020,0682
Jönköping,Sävsjö,18,18,10,null,3,null,null,null,null,null,0684
Jönköping,Tranås,14,11,3,3,4,4,4,3,25,null,0687
Jönköping,Vaggeryd,40,36,34,28,24,20,26,21,40,2016,0665
Jönköping,Vetlanda,11,9,5,3,4,3,2,null,null,null,0685
Jönköping,Värnamo,19,12,9,6,7,7,12,8,30,2016,0683
Kronoberg,Alvesta,37,38,32,23,20,14,10,10,25,2016,0764
Kronoberg,Lessebo,18,20,21,17,8,4,null,null,30,2016,0761
Kronoberg,Ljungby,20,22,19,16,15,11,12,7,25,2016,0781
Kronoberg,Markaryd,21,null,15,null,6,4,3,2,20,2016,0767
Kronoberg,Tingsryd,34,27,19,19,19,19,14,4,25,2016,0763
Kronoberg,Uppvidinge,18,16,18,19,13,13,11,9,null,null,0760
Kronoberg,Växjö,40,39,null,33,30,21,13,null,80,2020,0780
Kronoberg,Älmhult,37,39,33,31,25,23,14,9,30,2016,0765
Kalmar,Borgholm,null,18,20,24,null,23,17,12,null,null,0885
Kalmar,Emmaboda,46,41,36,32,27,19,null,11,50,2018,0862
Kalmar,Hultsfred,25,22,14,8,10,3,3,2,null,null,0860
Kalmar,Högsby,24,23,null,null,null,null,17,null,null,null,0821
Kalmar,Kalmar,30,32,30,29,27,20,13,11,25,2016,0880
Kalmar,Mönsterås,33,32,34,34,31,22,17,15,null,null,0861
Kalmar,Mörbylånga,33,26,22,null,null,null,19,14,25,null,0840
Kalmar,Nybro,25,null,12,null,4,4,null,null,null,null,0881
Kalmar,Oskarshamn,22,12,11,9,9,8,null,null,25,2016,0882
Kalmar,Torsås,null,null,null,null,null,18,null,null,null,null,0834
Kalmar,Vimmerby,19,null,null,null,9,7,2,1,null,null,0884
Kalmar,Västervik,17,14,11,11,11,9,5,1,null,null,0883
Gotland,Region Gotland,26,24,21,21,20,17,13,10,25,2016,0980
Blekinge,Karlshamn,26,23,null,13,12,13,8,8,28,2016,1082
Blekinge,Karlskrona,29,23,19,22,15,7,null,null,null,null,1080
Blekinge,Olofström,13,8,3,4,3,3,1,null,25,2016,1060
Blekinge,Ronneby,29,26,null,22,19,14,9,8,29,2016,1081
Blekinge,Sölvesborg,26,18,16,20,13,9,7,null,25,2016,1083
Skåne,Bjuv,13,9,15,14,14,11,11,10,null,null,1260
Skåne,Bromölla,26,18,13,16,11,9,null,5,25,2016,1272
Skåne,Burlöv,null,17,21,null,22,17,12,4,25,2020,1231
Skåne,Båstad,28,26,20,20,19,13,null,null,25,2016,1278
Skåne,Eslöv,35,33,35,28,26,17,11,11,60,2018,1285
Skåne,Helsingborg,40,33,18,22,14,11,9,9,40,2016,1283
Skåne,Hässleholm,33,29,18,17,14,10,7,7,null,null,1293
Skåne,Höganäs,10,7,null,5,null,1,1,1,25,2016,1284
Skåne,Hörby,30,32,30,19,13,2,null,4,null,null,1266
Skåne,Höör,null,30,29,16,15,null,null,null,40,2020,1267
Skåne,Klippan,4,0,0,null,0,0,null,0,null,null,1276
Skåne,Kristianstad,35,30,20,18,13,11,11,null,40,2017,1290
Skåne,Kävlinge,35,31,31,21,10,0,0,null,25,2016,1261
Skåne,Landskrona,31,27,24,23,null,null,null,null,50,2020,1282
Skåne,Lomma,20,17,14,15,16,9,0,2,25,null,1262
Skåne,Lund,55,50,49,46,43,35,34,25,100,2020,1281
Skåne,Malmö,53,44,37,39,33,27,23,24,100,2020,1280
Skåne,Osby,23,21,15,7,18,14,3,null,null,null,1273
Skåne,Perstorp,19,null,null,null,null,null,1,1,null,null,1275
Skåne,Simrishamn,null,null,null,null,null,null,null,null,null,null,1291
Skåne,Sjöbo,3,null,null,null,null,13,null,null,null,null,1265
Skåne,Skurup,39,null,22,22,null,null,null,null,40,2016,1264
Skåne,Staffanstorp,15,null,15,null,15,null,null,3,null,null,1230
Skåne,Svalöv,null,null,24,null,null,4,4,2,null,null,1214
Skåne,Svedala,28,27,25,27,28,26,23,22,50,2018,1263
Skåne,Tomelilla,7,12,5,7,1,2,null,null,10,2020,1270
Skåne,Trelleborg,34,28,25,20,16,11,11,3,35,null,1287
Skåne,Vellinge,72,57,48,null,32,26,7,5,null,null,1233
Skåne,Ystad,17,12,9,11,8,9,6,6,35,2020,1286
Skåne,Åstorp,null,null,null,8,null,null,null,null,null,null,1277
Skåne,Ängelholm,19,12,5,null,1,0,8,4,25,2017,1292
Skåne,Örkelljunga,11,10,5,null,null,null,null,null,10,2016,1257
Skåne,Östra Göinge,25,20,16,16,12,8,4,4,25,2016,1256
