Län,2015,2014,2013,2012,2011,2010,2009,2008,LNKOD
Blekinge,28,23,19,19,15,10,7,8,10
Dalarna,28,26,27,24,18,14,12,11,20
Gotland,26,24,21,21,20,17,13,10,09
Gävleborg,30,21,22,19,19,12,9,7,21
Halland,26,23,20,17,13,9,9,5,13
Jämtland,20,21,19,20,17,13,9,12,23
Jönköping,22,18,16,14,11,8,6,5,06
Kalmar,27,25,21,21,17,15,11,9,08
Kronoberg,35,31,31,29,24,18,14,7,07
Norrbotten,17,15,14,14,9,4,7,3,25
Skåne,39,25,29,28,25,19,16,14,12
Stockholm,32,24,24,20,18,14,12,13,01
Södermanland,40,30,25,24,23,17,13,7,04
Uppsala,27,19,18,18,16,13,7,9,03
Värmland,24,17,18,17,17,12,5,5,17
Västerbotten,18,15,17,15,11,5,7,3,24
Västernorrland,26,19,16,10,8,9,5,1,22
Västmanland,34,25,26,26,17,11,8,8,19
Västra Götaland,32,20,21,21,17,13,11,10,14
Örebro,43,29,27,26,26,16,10,7,18
Östergötland,29,24,22,21,16,16,6,3,05
